ticker,date,period_ending,estimate,reported,surprise,surprise%
PVH,2021-06-02,2021-04,0.82,1.92,1.1,134.15
SITE,2021-05-05,2021-03,-0.44,0.16,0.6,136.36
COUP,2021-06-07,2021-04,-0.19,0.07,0.26,136.84
PEN,2021-05-04,2021-03,0.11,0.27,0.16,145.45
TWLO,2021-05-05,2021-03,-0.1,0.05,0.15,150
RL,2021-05-20,2021-03,-0.73,0.38,1.11,152.05
COLM,2021-04-29,2021-03,0.33,0.84,0.51,154.55
SQ,2021-05-06,2021-03,0.16,0.41,0.25,156.25
KMI,2021-04-21,2021-03,0.23,0.6,0.37,160.87
IAC,2021-05-06,2021-03,-0.62,0.4,1.02,164.52
DIS,2021-05-13,2021-03,0.29,0.79,0.5,172.41
IPG,2021-04-28,2021-03,0.16,0.45,0.29,181.25
BURL,2021-05-27,2021-04,0.92,2.59,1.67,181.52
MAR,2021-05-10,2021-03,0.03,0.1,0.07,233.33
W,2021-05-06,2021-03,0.29,1,0.71,244.83
JLL,2021-05-05,2021-03,0.6,2.1,1.5,250
TRGP,2021-05-06,2021-03,0.15,0.53,0.38,253.33
EVBG,2021-05-10,2021-03,-0.11,0.18,0.29,263.64
DKS,2021-05-26,2021-04,1.04,3.79,2.75,264.42
VSAT,2021-05-25,2021-03,0.03,0.11,0.08,266.67
UA,2021-05-04,2021-03,0.04,0.16,0.12,300
UAA,2021-05-04,2021-03,0.04,0.16,0.12,300
KRC,2021-04-28,2021-03,0.99,4.26,3.27,330.3
F,2021-04-28,2021-03,0.16,0.89,0.73,456.25
ROKU,2021-05-06,2021-03,-0.12,0.54,0.66,550
CRI,2021-04-30,2021-03,0.27,1.98,1.71,633.33
NWSA,2021-05-06,2021-03,0.01,0.09,0.08,800
PEGA,2021-04-28,2021-03,0.02,0.26,0.24,1200
GPS,2021-05-27,2021-04,-0.02,0.48,0.5,2500
CPRI,2021-05-26,2021-03,-0.01,0.38,0.39,3900
